menuId;dietSelection(0-Normal,1-Vegetarian,2-Vegan);nutritionalDisease(0-Normal,1-Diabetes,2-Celiac,3-Reflux);caloryValue;proteinValue;carbonhydratValue;fatValue;menuContents
16;0;0;1700;150;80;50;Breakfast,1 cup of tea,2 boiled eggs,1 slice of bran bread,1/2 avocado,Snack,1 cup of herbal tea,Lunch,1 bowl of lentil soup,1 serving artichoke dish,Non-fat Salad,Snack,1 apple,1 cup of coffee,Dinner,1 serving of chickpeas,Non-fat Salad
17;0;0;1700;170;40;70;Breakfast,1 cup of tea,1 boiled egg,1 slice of bran bread,1 slice of low-fat white cheese,Snack,10 strawberries,Lunch,1 bowl of tomato soup,1 serving eggplant dish,1 bown of yogurt,Snack,1 apple,1 cup of coffee,Dinner,1 serving of haricot bean dish,Non-fat Salad
18;0;0;1700;150;80;50;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,Tomato,Cucumber,Snack,1 orange,1 cup of coffee,Lunch,1 bowl of tomato soup,1 serving eggplant dish,1 bown of yogurt,Snack,15 nuts, 10 almonds,Dinner,Non-fat Salad1 bowl of yogurt
19;0;0;1700;100;60;50;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,1 boiled egg,Tomato, Cucumber,Lunch,1 serving of okra dish,1 bowl of yogurt,Snack,1 peach,Dinner,1 serving of chickpeas,Non-fat Salad
20;0;0;1700;170;40;70;Breakfast,1 cup of tea,5 olives,1 slice of bran bread,1 boiled egg,Tomato, Cucumber,Snack,10 almonds,1 cup of coffee,Lunch,1 serving of mixed vegetable dish,1 bowl of yogurt,Snack,1 banana,1 cup of milk,Dinner,1 bowl of lentil soup,1 serving artichoke dish,Non-fat Salad
21;0;0;1800;100;60;50;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,1 boiled egg,Tomato, Cucumber,Lunch,Salad with tuna,2 slices of bran bread,1 cup buttermilk,Snack,3 dried apricots,3 walnuts,1 cup of coffee,Dinner,1 serving spinach dish,1 bown of yogurt,Non-fat Salad
22;0;0;1800;170;40;70;Breakfast,1 cup of tea,5 olives,1 slice of bran bread,Omelet with 1 egg,Tomato, Cucumber,Snack,1 glass of milk,10 almonds,1 cup of coffee,Lunch,1 serving of green bean dish,1 bowl of yogurt,Snack,1 banana,Dinner,1 serving of chicken grill,1 slice of bran bread,Non-fat Salad
23;0;0;1800;150;80;50;Breakfast,1 cup of tea,2 boiled eggs,1 slice of bran bread,1/2 avocado,Snack,1 cup of herbal tea,Lunch,1 bowl of lentil soup,1 slice of bran bread,1 serving eggplant dish,1 bown of yogurt,Snack,1 apple,1 cup of coffee,Dinner,1 serving of chickpea dish,Non-fat Salad
24;0;0;1800;150;80;50;Breakfast,1 cup of tea,1 boiled egg,1 slice of bran bread,1 slice of low-fat white cheese,Snack,10 strawberries,Lunch,1 bowl of tomato soup,1 slice of bran bread,1 serving eggplant dish,1 bown of yogurt,Snack,1 orange,1 cup of coffee,Dinner,1 serving of chickpeas dish,Non-fat Salad
25;0;0;1800;170;40;70;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,Tomato, Cucumber,Snack,1 orange,1 cup of coffee,Lunch,1 serving of grilled meat,1 slice of bran bread,Non-fat Salad,1 glass of buttermilk,Snack,15 nuts,10 almonds,Dinner,Non-fat Salad,1 bowl of yogurt
26;0;0;1800;100;60;50;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,1 boiled egg,Tomato, Cucumber,Lunch,1 serving of okra dish,1 slices of bran bread,1 bowl of yogurt,Snack,1 peach,Dinner,1 serving boiled chicken,1 bown of yogurt,Non-fat Salad
27;0;0;1800;100;70;50;Breakfast,1 cup of tea,5 olives,1 slice of bran bread,1 boiled egg,Tomato,Cucumber,Snack,10 almonds,1 cup of coffee,Lunch,1 serving of mixed vegetable dish,1 bowl of yogurt,Snack,1 banana,1 cup of milk,Dinner,1 serving of chicken grill,1 slice of bran bread,Non-fat Salad
28;0;0;1800;150;80;50;Breakfast,1 cup of tea,2 boiled eggs,1 slice of bran bread,Snack,1 cup of coffee,Lunch,1 bowl of lentil soup,1 slice of bran bread,1 serving grilled chicken with vegetables dish,1 bown of yogurt,Snack,2 mandarins,Dinner,Non-fat Salad,1 bowl of yogurt
29;0;0;1800;170;40;70;Breakfast,1 cup of tea,1 boiled egg,1 slice of bran bread,1 slice of low-fat white cheese,Snack,10 strawberries,Lunch,1 bowl of tomato soup,1 slice of bran bread,1 serving eggplant dish,1 bown of yogurt,Snack,1 apple,1 cup of coffee,Dinner,1 serving of chickpeas dish,1 slice of bran bread,Non-fat Salad
30;0;0;1800;150;80;50;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,Tomato, Cucumber,Snack,1 pear,1 cup of coffee,Lunch,1 serving of celery dish,Non-fat Salad,1 glass of buttermilk,Snack,15 nuts, 10 almonds,Dinner,1 serving of haricot bean dish,Non-fat Salad,1 slice of bran bread
31;0;0;2000;170;40;70;Breakfast,1 cup of tea,1 boiled egg,1 slice of low-fat white cheese,1 slice of bran bread,Snack,1 cup of milk,Lunch,1 bowl of barley noodle soup,1 slice of bran bread,4 meatballs,Non-fat Salad,Snack,20 cherries,Dinner,1 serving leek dish,Non-fat Salad,1 bowl of yogurt
32;0;0;2000;150;80;50;Breakfast,1 cup of tea,Omelet with 1 egg,1 slice of bran bread,Snack,1 cup of coffee,Lunch,1 bowl of lentil soup,1 slice of bran bread,1 serving artichoke dish,Non-fat Salad,Snack,15 peanuts,10 hazelnuts,Dinner,1 serving of fish grill,Non-fat Salad
33;0;0;2000;150;80;50;Breakfast,1 cup of tea,1 boiled egg,1 slice of bran bread,1 slice of low-fat white cheese,Snack,1 cup of coffee,Lunch,1 serving pumpkin dish,1 slice of bran bread,1 bown of yogurt,Snack,10 plums,Dinner,1 serving okra dish,Non-fat Salad,1 bowl of yogurt
34;0;0;2000;170;40;70;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,1 boiled egg,Tomato, Cucumber,Lunch,1 bowl of barley noodle soup,4 meatballs,Non-fat Salad,Snack,3 dried apricots,3 walnuts,1 cup of coffee,Dinner,1 serving spinach dish,1 slice of bran bread,1 bown of yogurt,Non-fat Salad
35;0;0;2000;100;70;50;Breakfast,1 cup of tea,5 olives,1 slice of bran bread,Omelet with 1 egg,Tomato, Cucumber,Snack,1 glass of milk,10 almonds,1 cup of coffee,Lunch,1 serving of green bean dish,2 slices of bran bread,Non-fat Salad,Snack,1 banana,Dinner,1 serving of fish grill,Non-fat Salad
36;0;0;2000;150;80;50;Breakfast,1 cup of tea,2 boiled eggs,1 slice of bran bread,1/2 avocado,Snack,1 cup of herbal tea,Lunch,1 bowl of lentil soup,1 slice of bran bread,1 serving artichoke dish,Non-fat Salad,Snack,1 apple,1 cup of coffee,Dinner,1 serving of chickpeas,Non-fat Salad
37;0;0;2000;170;40;70;Breakfast,1 cup of tea,1 boiled egg,1 slice of bran bread,1 slice of low-fat white cheese,Snack,10 strawberries,Lunch,1 bowl of tomato soup,1 slice of bran bread,1 serving eggplant dish,1 bown of yogurt,Snack,1 apple,1 cup of coffee,Dinner,1 serving of haricot bean dish,Non-fat Salad
38;0;0;2000;150;80;50;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,Tomato,Cucumber,Snack,1 orange,1 cup of coffee,Lunch,1 bowl of tomato soup,1 serving eggplant dish,1 bown of yogurt,Snack,15 nuts, 10 almonds,Dinner,Non-fat Salad,1 slice of bran bread,1 bowl of yogurt
39;0;0;2000;170;40;70;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,1 boiled egg,Tomato, Cucumber,Lunch,1 serving of okra dish,1 bowl of yogurt,Snack,1 peach,Dinner,1 serving of chickpeas,1 slice of bran bread,Non-fat Salad
40;0;0;2000;100;70;50;Breakfast,1 cup of tea,5 olives,1 slice of bran bread,1 boiled egg,Tomato, Cucumber,Snack,10 almonds,1 cup of coffee,Lunch,1 serving of mixed vegetable dish,1 slices of bran bread,1 bowl of yogurt,Snack,1 banana,1 cup of milk,Dinner,1 bowl of lentil soup,1 serving artichoke dish,Non-fat Salad
41;0;0;2200;170;40;70;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,1 boiled egg,Tomato, Cucumber,Lunch,Salad with tuna,2 slices of bran bread,1 cup buttermilk,Snack,3 dried apricots,3 walnuts,1 cup of coffee,Dinner,1 serving spinach dish,1 slice of bran bread,1 bown of yogurt,Non-fat Salad
42;0;0;2200;100;70;50;Breakfast,1 cup of tea,5 olives,1 slice of bran bread,Omelet with 1 egg,Tomato, Cucumber,Snack,1 glass of milk,10 almonds,1 cup of coffee,Lunch,1 serving of green bean dish,2 slices of bran bread,1 bowl of yogurt,Snack,1 banana,Dinner,1 serving of chicken grill,1 slice of bran bread,Non-fat Salad
43;0;0;2200;170;40;70;Breakfast,1 cup of tea,2 boiled eggs,1 slice of bran bread,1/2 avocado,Snack,1 cup of herbal tea,Lunch,1 bowl of lentil soup,1 slice of bran bread,1 serving eggplant dish,1 bown of yogurt,Snack,1 apple,1 cup of coffee,Dinner,1 serving of chickpea dish,1 slice of bran bread,Non-fat Salad
44;0;0;2200;150;80;50;Breakfast,1 cup of tea,1 boiled egg,1 slice of bran bread,1 slice of low-fat white cheese,Snack,10 strawberries,Lunch,1 bowl of tomato soup,1 slice of bran bread,1 serving eggplant dish,1 bown of yogurt,Snack,1 orange,1 cup of coffee,Dinner,1 serving of chickpeas dish,1 slice of bran bread,Non-fat Salad
45;0;0;2200;170;40;70;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,Tomato, Cucumber,Snack,1 orange,1 cup of coffee,Lunch,1 serving of grilled meat,1 slice of bran bread,Non-fat Salad,1 glass of buttermilk,Snack,15 nuts,10 almonds,Dinner,Non-fat Salad,1 slice of bran bread,1 bowl of yogurt
46;0;0;2200;100;60;50;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,1 boiled egg,Tomato, Cucumber,Lunch,1 serving of okra dish,1 slices of bran bread,1 bowl of yogurt,Snack,1 peach,Dinner,1 serving boiled chicken,1 slice of bran bread,1 bown of yogurt,Non-fat Salad
47;0;0;2200;170;40;70;Breakfast,1 cup of tea,5 olives,1 slice of bran bread,1 boiled egg,Tomato,Cucumber,Snack,10 almonds,1 cup of coffee,Lunch,1 serving of mixed vegetable dish,1 slices of bran bread,1 bowl of yogurt,Snack,1 banana,1 cup of milk,Dinner,1 serving of chicken grill,1 slice of bran bread,Non-fat Salad
48;0;0;2200;150;80;50;Breakfast,1 cup of tea,2 boiled eggs,1 slice of bran bread,Snack,1 cup of coffee,Lunch,1 bowl of lentil soup,1 slice of bran bread,1 serving grilled chicken with vegetables dish,1 bown of yogurt,Snack,2 mandarins,Dinner,Non-fat Salad,1 bowl of yogurt
49;0;0;2200;150;80;50;Breakfast,1 cup of tea,1 boiled egg,1 slice of bran bread,1 slice of low-fat white cheese,Snack,10 strawberries,Lunch,1 bowl of tomato soup,1 slice of bran bread,1 serving eggplant dish,1 bown of yogurt,Snack,1 apple,1 cup of coffee,Dinner,1 serving of chickpeas dish,1 slice of bran bread,Non-fat Salad
50;0;0;2200;150;80;50;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,Tomato, Cucumber,Snack,1 pear,1 cup of coffee,Lunch,1 serving of celery dish,1 slice of bran bread,Non-fat Salad,1 glass of buttermilk,Snack,15 nuts, 10 almonds,Dinner,1 serving of haricot bean dish,Non-fat Salad,1 slice of bran bread
51;0;0;2300;150;80;50;Breakfast,1 cup of tea,1 boiled egg,1 slice of low-fat white cheese,1 slice of bran bread,Snack,1 cup of milk,Lunch,1 bowl of barley noodle soup,1 slice of bran bread,4 meatballs,Non-fat Salad,Snack,20 cherries,Dinner,1 serving leek dish,Non-fat Salad,1 bowl of yogurt
52;0;0;2300;170;40;70;Breakfast,1 cup of tea,Omelet with 1 egg,1 slice of bran bread,Snack,1 cup of coffee,Lunch,1 bowl of lentil soup,1 slice of bran bread,1 serving artichoke dish,Non-fat Salad,Snack,15 peanuts,10 hazelnuts,Dinner,1 serving of fish grill,Non-fat Salad,1 slice of bran bread
53;0;0;2300;150;80;50;Breakfast,1 cup of tea,1 boiled egg,1 slice of bran bread,1 slice of low-fat white cheese,Snack,1 cup of coffee,Lunch,1 serving pumpkin dish,1 slice of bran bread,1 bown of yogurt,Snack,10 plums,Dinner,1 serving okra dish,Non-fat Salad,1 bowl of yogurt
54;0;0;2300;170;40;70;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,1 boiled egg,Tomato, Cucumber,Lunch,1 bowl of barley noodle soup,1 slice of bran bread,4 meatballs,Non-fat Salad,Snack,3 dried apricots,3 walnuts,1 cup of coffee,Dinner,1 serving spinach dish,1 slice of bran bread,1 bown of yogurt,Non-fat Salad
55;0;0;2300;100;70;50;Breakfast,1 cup of tea,5 olives,1 slice of bran bread,Omelet with 1 egg,Tomato, Cucumber,Snack,1 glass of milk,10 almonds,1 cup of coffee,Lunch,1 serving of green bean dish,2 slices of bran bread,Non-fat Salad,Snack,1 banana,Dinner,1 serving of fish grill,Non-fat Salad,1 slice of bran bread
56;0;0;2300;170;40;70;Breakfast,1 cup of tea,2 boiled eggs,1 slice of bran bread,1/2 avocado,Snack,1 cup of herbal tea,Lunch,1 bowl of lentil soup,1 slice of bran bread,1 serving artichoke dish,Non-fat Salad,Snack,1 apple,1 cup of coffee,Dinner,1 serving of chickpeas,1 slice of bran bread,Non-fat Salad
57;0;0;2300;150;80;50;Breakfast,1 cup of tea,1 boiled egg,1 slice of bran bread,1 slice of low-fat white cheese,Snack,10 strawberries,Lunch,1 bowl of tomato soup,1 slice of bran bread,1 serving eggplant dish,1 bown of yogurt,Snack,1 apple,1 cup of coffee,Dinner,1 serving of haricot bean dish,Non-fat Salad,1 slice of bran bread
58;0;0;2300;170;40;70;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,Tomato,Cucumber,Snack,1 orange,1 cup of coffee,Lunch,1 bowl of tomato soup,1 slice of bran bread,1 serving eggplant dish,1 bown of yogurt,Snack,15 nuts, 10 almonds,Dinner,Non-fat Salad,1 slice of bran bread,1 bowl of yogurt
59;0;0;2300;100;60;50;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,1 boiled egg,Tomato, Cucumber,Lunch,1 serving of okra dish,1 slices of bran bread,1 bowl of yogurt,Snack,1 peach,Dinner,1 serving of chickpeas,1 slice of bran bread,Non-fat Salad
60;0;0;2300;100;70;50;Breakfast,1 cup of tea,5 olives,1 slice of bran bread,1 boiled egg,Tomato, Cucumber,Snack,10 almonds,1 cup of coffee,Lunch,1 serving of mixed vegetable dish,1 slices of bran bread,1 bowl of yogurt,Snack,1 banana,1 cup of milk,Dinner,1 bowl of lentil soup,1 slice of bran bread,1 serving artichoke dish,Non-fat Salad
61;0;0;2400;170;40;70;Breakfast,1 cup of tea,1 slice of low-fat white cheese,2 slice of bran bread,1 boiled egg,Tomato, Cucumber,Lunch,Salad with tuna,2 slices of bran bread,1 cup buttermilk,Snack,3 dried apricots,3 walnuts,1 cup of coffee,Dinner,1 serving spinach dish,1 slice of bran bread,1 bown of yogurt,Non-fat Salad
62;0;0;2400;170;40;70;Breakfast,1 cup of tea,5 olives,2 slice of bran bread,Omelet with 1 egg,Tomato, Cucumber,Snack,1 glass of milk,10 almonds,1 cup of coffee,Lunch,1 serving of green bean dish,2 slices of bran bread,1 bowl of yogurt,Snack,1 banana,Dinner,1 serving of chicken grill,1 slice of bran bread,Non-fat Salad
63;0;0;2400;150;80;50;Breakfast,1 cup of tea,2 boiled eggs,2 slice of bran bread,1/2 avocado,Snack,1 cup of herbal tea,Lunch,1 bowl of lentil soup,1 slice of bran bread,1 serving eggplant dish,1 bown of yogurt,Snack,1 apple,1 cup of coffee,Dinner,1 serving of chickpea dish,1 slice of bran bread,Non-fat Salad
64;0;0;2400;150;80;50;Breakfast,1 cup of tea,1 boiled egg,2 slice of bran bread,1 slice of low-fat white cheese,Snack,10 strawberries,Lunch,1 bowl of tomato soup,1 slice of bran bread,1 serving eggplant dish,1 bown of yogurt,Snack,1 orange,1 cup of coffee,Dinner,1 serving of chickpeas dish,1 slice of bran bread,Non-fat Salad
65;0;0;2400;170;40;70;Breakfast,1 cup of tea,1 slice of low-fat white cheese,2 slice of bran bread,Tomato, Cucumber,Snack,1 orange,1 cup of coffee,Lunch,1 serving of grilled meat,1 slice of bran bread,Non-fat Salad,1 glass of buttermilk,Snack,15 nuts,10 almonds,Dinner,Non-fat Salad,1 slice of bran bread,1 bowl of yogurt
66;0;0;2400;100;60;50;Breakfast,1 cup of tea,1 slice of low-fat white cheese,2 slice of bran bread,1 boiled egg,Tomato, Cucumber,Lunch,1 serving of okra dish,1 slices of bran bread,1 bowl of yogurt,Snack,1 peach,Dinner,1 serving boiled chicken,1 slice of bran bread,1 bown of yogurt,Non-fat Salad
67;0;0;2400;100;70;50;Breakfast,1 cup of tea,6 olives,2 slice of bran bread,1 boiled egg,Tomato,Cucumber,Snack,10 almonds,1 cup of coffee,Lunch,1 serving of mixed vegetable dish,1 slices of bran bread,1 bowl of yogurt,Snack,1 banana,1 cup of milk,Dinner,1 serving of chicken grill,1 slice of bran bread,Non-fat Salad
68;0;0;2400;170;40;70;Breakfast,1 cup of tea,2 boiled eggs,2 slice of bran bread,Snack,1 cup of coffee,Lunch,1 bowl of lentil soup,1 slice of bran bread,1 serving grilled chicken with vegetables dish,1 bown of yogurt,Snack,2 mandarins,Dinner,Non-fat Salad,1 bowl of yogurt
69;0;0;2400;150;80;50;Breakfast,1 cup of tea,1 boiled egg,2 slice of bran bread,1 slice of low-fat white cheese,Snack,10 strawberries,Lunch,1 bowl of tomato soup,1 slice of bran bread,1 serving eggplant dish,1 bown of yogurt,Snack,1 apple,1 cup of coffee,Dinner,1 serving of chickpeas dish,1 slice of bran bread,Non-fat Salad
70;0;0;2400;170;40;70;Breakfast,1 cup of tea,2 slice of low-fat white cheese,2 slice of bran bread,Tomato, Cucumber,Snack,1 pear,1 cup of coffee,Lunch,1 serving of celery dish,1 slice of bran bread,Non-fat Salad,1 glass of buttermilk,Snack,15 nuts, 10 almonds,Dinner,1 serving of haricot bean dish,Non-fat Salad,1 slice of bran bread
71;0;0;2500;150;80;50;Breakfast,1 cup of tea,1 boiled egg,1 slice of low-fat white cheese,2 slice of bran bread,Snack,1 cup of milk,Lunch,1 bowl of barley noodle soup,1 slice of bran bread,4 meatballs,Non-fat Salad,Snack,20 cherries,Dinner,1 serving leek dish,Non-fat Salad,1 bowl of yogurt
72;0;0;2500;150;80;50;Breakfast,1 cup of tea,Omelet with 2 egg,1 slice of bran bread,Snack,1 cup of coffee,Lunch,1 bowl of lentil soup,1 slice of bran bread,1 serving artichoke dish,Non-fat Salad,Snack,15 peanuts,10 hazelnuts,Dinner,1 serving of fish grill,Non-fat Salad,1 slice of bran bread
73;0;0;2500;150;80;50;Breakfast,1 cup of tea,1 boiled egg,2 slice of bran bread,1 slice of low-fat white cheese,Snack,1 cup of coffee,Lunch,1 serving pumpkin dish,1 slice of bran bread,1 bown of yogurt,Snack,10 plums,Dinner,1 serving okra dish,Non-fat Salad,1 bowl of yogurt
74;0;0;2500;170;40;70;Breakfast,1 cup of tea,1 slice of low-fat white cheese,2 slice of bran bread,1 boiled egg,Tomato, Cucumber,Lunch,1 bowl of barley noodle soup,1 slice of bran bread,4 meatballs,Non-fat Salad,Snack,3 dried apricots,3 walnuts,1 cup of coffee,Dinner,1 serving spinach dish,1 slice of bran bread,1 bown of yogurt,Non-fat Salad
75;0;0;2500;100;70;50;Breakfast,1 cup of tea,5 olives,2 slice of bran bread,Omelet with 1 egg,Tomato, Cucumber,Snack,1 glass of milk,10 almonds,1 cup of coffee,Lunch,1 serving of green bean dish,2 slices of bran bread,Non-fat Salad,Snack,1 banana,Dinner,1 serving of fish grill,Non-fat Salad,1 slice of bran bread
76;0;0;2500;150;80;50;Breakfast,1 cup of tea,2 boiled eggs,2 slice of bran bread,1/2 avocado,Snack,1 cup of herbal tea,Lunch,1 bowl of lentil soup,1 slice of bran bread,1 serving artichoke dish,Non-fat Salad,Snack,1 apple,1 cup of coffee,Dinner,1 serving of chickpeas,1 slice of bran bread,Non-fat Salad
77;0;0;2500;170;40;70;Breakfast,1 cup of tea,1 boiled egg,2 slice of bran bread,1 slice of low-fat white cheese,Snack,10 strawberries,Lunch,1 bowl of tomato soup,1 slice of bran bread,1 serving eggplant dish,1 bown of yogurt,Snack,1 apple,1 cup of coffee,Dinner,1 serving of haricot bean dish,Non-fat Salad,1 slice of bran bread
78;0;0;2500;150;80;50;Breakfast,1 cup of tea,1 slice of low-fat white cheese,2 slice of bran bread,Tomato,Cucumber,Snack,1 orange,1 cup of coffee,Lunch,1 bowl of tomato soup,1 slice of bran bread,1 serving eggplant dish,1 bown of yogurt,Snack,15 nuts, 10 almonds,Dinner,Non-fat Salad,1 slice of bran bread,1 bowl of yogurt
79;0;0;2500;100;60;50;Breakfast,1 cup of tea,1 slice of low-fat white cheese,2 slice of bran bread,1 boiled egg,Tomato, Cucumber,Lunch,1 serving of okra dish,1 slices of bran bread,1 bowl of yogurt,Snack,1 peach,Dinner,1 serving of chickpeas,1 slice of bran bread,Non-fat Salad
80;0;0;2500;170;40;70;Breakfast,1 cup of tea,5 olives,1 slice of bran bread,2 boiled eggs,Tomato, Cucumber,Snack,10 almonds,1 cup of coffee,Lunch,1 serving of mixed vegetable dish,1 slices of bran bread,1 bowl of yogurt,Snack,1 banana,1 cup of milk,Dinner,1 bowl of lentil soup,1 slice of bran bread,1 serving artichoke dish,Non-fat Salad
81;0;0;2600;170;40;70;Breakfast,1 cup of tea,1 slice of low-fat white cheese,1 slice of bran bread,1 boiled egg,Tomato, Cucumber,Lunch,Salad with tuna,2 slices of bran bread,1 cup buttermilk,Snack,3 dried apricots,3 walnuts,1 cup of coffee,Dinner,1 serving spinach dish,serving of pasta,1 bown of yogurt,Non-fat Salad
82;0;0;2600;100;70;50;Breakfast,1 cup of tea,5 olives,1 slice of bran bread,Omelet with 1 egg,Tomato, Cucumber,Snack,1 glass of milk,10 almonds,1 cup of coffee,Lunch,1 serving of green bean dish,2 slices of bran bread,1 bowl of yogurt,Snack,1 banana,Dinner,1 serving of chicken grill,1 slice of bran bread,Non-fat Salad
83;0;0;2600;170;40;70;Breakfast,1 cup of tea,2 boiled eggs,1 slice of bran bread,1/2 avocado,Snack,1 cup of herbal tea,Lunch,1 bowl of lentil soup,1 slice of bran bread,1 serving eggplant dish,1 bown of yogurt,Snack,1 apple,1 cup of coffee,Dinner,1 serving of chickpea dish,serving of pasta,Non-fat Salad
